player_id,player_name,age,position,team,matches_played,minutes_played,goals,assists,yellow_cards,red_cards,market_value_million_eur,overall_rating,potential,rating_last_season,injury_days_per_season,monthly_salary_k_eur,nationality,tactical_profile,contract_years_remaining,expected_transfer_fee_million_eur,agent_fee_million_eur,xG,xA,market_value_next_season_million_eur,goals_per90,assists_per90,value_efficiency,potential_upside,disciplinary_index
1,João Ortega,28,Midfielder,Ajax,4,402,0,0,11,0,37.92,69,73,69,35,582.6,France,Box-to-Box,1,54.54,5.04,0.33,-0.93,36.78,0.0,0.0,0.0,4,11
2,Samuel Silva,28,Forward,PSG,26,2369,5,4,9,0,54.23,76,80,70,6,661.3,Ghana,Target Forward,3,71.83,3.55,6.9,3.6,55.75,0.1899535669058675,0.151962853524694,0.165959800848239,4,9
3,David Suárez,18,Forward,Manchester City,18,1678,7,2,1,0,59.03,80,82,77,22,972.5,Nigeria,Poacher,5,82.75,7.16,3.83,3.31,57.61,0.3754469606674612,0.1072705601907032,0.1524648483821786,2,1
4,Enzo García,22,Forward,AC Milan,31,2874,11,6,9,0,55.25,72,78,71,7,831.3,Brazil,Inverted Winger,3,62.04,2.85,10.19,5.35,57.79,0.3444676409185804,0.1878914405010438,0.3076923076923077,6,9
5,Pablo Hernández,18,Midfielder,AC Milan,19,1794,1,5,2,0,50.12,75,79,73,11,752.7,Germany,Pressing Midfielder,4,72.26,2.53,0.81,4.88,51.02,0.05016722408026756,0.2508361204013378,0.1197126895450918,4,2
6,Gavi García,22,Forward,Inter Milan,32,2921,9,3,11,0,61.43,80,86,82,18,632.1,Croatia,Inside Forward,4,68.56,3.57,9.69,3.21,62.9,0.2773022937350222,0.09243409791167409,0.1953442943187368,6,11
7,Mohamed Hakimi,33,Midfielder,Porto,32,2933,2,1,7,0,45.4,72,75,71,0,701.4,Serbia,Advanced Playmaker,2,62.17,5.12,3.93,1.16,46.76,0.06137061029662462,0.03068530514831231,0.06607929515418502,3,7
8,João Ramírez,29,Midfielder,Porto,7,672,0,0,12,0,33.98,64,66,64,3,485.0,Morocco,Deep-Lying Playmaker,5,50.84,3.03,-0.53,-0.1,34.46,0.0,0.0,0.0,2,12
9,Mateo Suárez,19,Defender,Arsenal,3,347,0,0,10,0,47.81,77,86,75,32,749.9,Netherlands,Central Defender,5,60.72,3.07,-0.07,-0.46,49.05,0.0,0.0,0.0,9,10
10,Antoine Zieliński,21,Defender,Napoli,31,2861,0,0,4,0,32.48,63,72,62,12,309.5,Spain,Attacking Fullback,4,48.11,3.26,0.57,0.37,34.62,0.0,0.0,0.0,9,4
11,Rafael Jović,19,Forward,Real Madrid,19,1786,4,2,12,0,62.2,84,85,83,20,1043.7,Argentina,Inside Forward,4,97.87,3.52,3.42,3.64,60.33,0.2015677491601344,0.1007838745800672,0.09646302250803858,1,12
12,Sergio González,22,Defender,Borussia Dortmund,10,976,1,1,4,0,47.43,76,86,72,42,836.8,Nigeria,Attacking Fullback,4,74.2,6.15,1.04,0.36,48.19,0.09221311475409835,0.09221311475409835,0.0421674045962471,10,4
13,Luka García,18,Defender,Barcelona,23,2149,2,1,1,0,45.1,72,74,69,6,370.3,Portugal,Ball-Playing Defender,1,62.1,4.42,2.63,1.89,45.46,0.08375988832014891,0.04187994416007446,0.06651884700665188,2,1
14,Andrés Vargas,22,Defender,AC Milan,6,590,0,1,8,0,43.0,72,80,71,16,575.9,USA,Overlapping Fullback,2,62.85,5.77,0.34,0.36,45.06,0.0,0.1525423728813559,0.02325581395348837,8,8
15,Pablo Martínez,19,Forward,Barcelona,33,2999,12,5,6,0,59.08,75,82,70,8,983.0,Nigeria,Target Forward,1,66.59,5.04,9.61,7.0,62.27,0.3601200400133377,0.1500500166722241,0.2877454299255247,7,6
16,Karim Novak,20,Forward,Manchester City,11,1079,3,3,8,0,57.17,81,88,81,34,616.6,France,Poacher,1,70.03,6.63,2.68,3.82,57.28,0.2502316960148285,0.2502316960148285,0.1049501486793773,7,8
17,Luka Ramírez,21,Defender,Juventus,14,1268,3,1,2,0,42.78,70,78,69,21,712.1,Morocco,Attacking Fullback,4,66.36,2.76,2.05,0.85,44.41,0.2129337539432177,0.07097791798107256,0.09350163627863488,8,2
18,Thiago Fernandes,23,Midfielder,RB Leipzig,28,2576,5,2,10,0,43.48,68,71,67,5,476.8,France,Box-to-Box,5,68.89,4.86,4.69,1.46,44.35,0.1746894409937888,0.06987577639751552,0.1609935602575897,3,10
19,Samuel Pérez,26,Midfielder,Porto,27,2475,0,4,2,0,48.03,74,83,75,0,793.1,Brazil,Advanced Playmaker,5,54.48,1.89,0.43,4.9,52.35,0.0,0.1454545454545454,0.08328128253175099,9,2
20,Alex Pérez,22,Midfielder,Juventus,31,2836,5,7,1,0,44.62,69,79,63,65,498.1,Nigeria,Advanced Playmaker,3,54.9,4.22,3.11,7.11,43.28,0.1586741889985896,0.2221438645980254,0.2689376961004034,10,1
21,Daniel Hakimi,19,Midfielder,Real Madrid,6,597,0,1,0,0,38.28,68,78,69,17,334.3,Portugal,Deep-Lying Playmaker,3,46.19,2.24,-0.29,0.35,40.81,0.0,0.1507537688442211,0.02612330198537095,10,0
22,Pedro Hakimi,19,Forward,Bayern Munich,28,2525,4,5,11,0,60.53,82,91,84,34,888.5,Netherlands,Poacher,1,83.37,7.94,2.5,6.46,61.86,0.1425742574257426,0.1782178217821782,0.1486866016851148,9,11
23,Rafael López,19,Defender,Barcelona,10,936,0,0,4,0,32.51,65,69,62,54,326.3,England,Overlapping Fullback,3,46.07,2.23,-0.46,0.16,30.3,0.0,0.0,0.0,4,4
24,Luka Martínez,25,Forward,Real Madrid,18,1666,6,2,12,0,34.95,60,65,60,21,538.7,Argentina,Poacher,3,48.09,2.88,6.5,2.9,35.23,0.3241296518607443,0.1080432172869148,0.228898426323319,5,12
25,Daniel González,27,Midfielder,AC Milan,10,906,0,2,6,0,53.21,79,84,76,0,904.0,Brazil,Deep-Lying Playmaker,5,79.71,7.19,1.03,1.17,55.87,0.0,0.1986754966887417,0.03758691975192633,5,6
26,Luka Hernández,26,Defender,RB Leipzig,21,1964,0,2,9,0,44.73,74,78,74,42,794.5,Ghana,Central Defender,3,67.34,6.18,-0.95,2.48,42.76,0.0,0.09164969450101833,0.0447127207690588,4,9
27,Enzo Jović,33,Forward,AC Milan,35,3172,10,2,1,0,38.96,61,62,56,25,398.3,Portugal,Poacher,2,58.76,3.66,9.66,0.27,37.4,0.2837326607818411,0.05674653215636822,0.3080082135523614,1,1
28,Thiago Alvarez,26,Midfielder,Arsenal,16,1441,1,1,1,1,40.12,69,74,66,19,578.3,Brazil,Deep-Lying Playmaker,2,52.15,5.15,0.09,0.91,40.6,0.06245662734212352,0.06245662734212352,0.04985044865403789,5,4
29,Bruno Martínez,32,Midfielder,Porto,15,1387,0,1,0,0,30.71,61,68,58,18,469.4,Italy,Deep-Lying Playmaker,1,38.6,2.8,-0.74,0.86,31.75,0.0,0.06488824801730353,0.0325626831650928,7,0
30,Alex Ramos,20,Defender,RB Leipzig,3,306,0,0,8,1,31.03,62,71,61,20,361.3,Brazil,Attacking Fullback,5,35.22,2.69,0.41,-0.32,32.58,0.0,0.0,0.0,9,11
31,Diego Kovačević,23,Forward,PSG,21,1972,3,4,5,0,70.25,90,95,84,41,651.4,Belgium,Inverted Winger,5,92.04,8.82,2.29,4.18,68.0,0.1369168356997972,0.1825557809330629,0.099644128113879,5,5
32,Rafael Novak,18,Defender,PSG,17,1544,3,0,4,0,48.68,75,85,72,12,615.8,England,Attacking Fullback,5,64.31,2.89,3.99,-0.19,52.38,0.1748704663212435,0.0,0.06162695152013147,10,4
33,Jude Vargas,18,Midfielder,Real Madrid,31,2836,5,4,5,0,44.33,68,72,66,12,454.2,Morocco,Pressing Midfielder,5,53.18,1.69,5.29,3.68,45.04,0.1586741889985896,0.1269393511988716,0.203022783667945,4,5
34,Antoine Hakimi,21,Forward,Manchester City,35,3152,11,6,6,0,55.55,72,76,72,1,808.8,Ghana,Inside Forward,2,61.26,5.06,15.92,5.35,57.66,0.3140862944162436,0.1713197969543147,0.3060306030603061,4,6
